,fiyat
2021-11-28,24.74
2021-11-29,24.74
2021-11-30,24.74
2021-12-01,24.74
2021-12-02,24.74
2021-12-03,24.24
2021-12-04,24.24
2021-12-05,24.24
2021-12-06,24.24
2021-12-07,24.24
2021-12-08,24.24
2021-12-09,24.24
2021-12-10,24.0
2021-12-11,24.0
2021-12-12,24.0
2021-12-13,24.0
2021-12-14,24.0
2021-12-15,24.0
2021-12-16,24.0
2021-12-17,23.8
2021-12-18,23.8
2021-12-19,23.8
2021-12-20,23.8
2021-12-21,23.8
2021-12-22,23.8
2021-12-23,23.8
2021-12-24,23.56
2021-12-25,23.56
2021-12-26,23.56
2021-12-27,23.56
2021-12-28,23.56
2021-12-29,23.56
2021-12-30,23.56
2021-12-31,23.28
2022-01-01,23.28
2022-01-02,23.28
2022-01-03,23.28
2022-01-04,23.28
2022-01-05,23.28
2022-01-06,23.28
2022-01-07,23.2
2022-01-08,23.2
2022-01-09,23.2
2022-01-10,23.2
2022-01-11,23.2
2022-01-12,23.2
2022-01-13,23.2
2022-01-14,23.2
2022-01-15,23.2
2022-01-16,23.2
2022-01-17,23.2
2022-01-18,23.2
2022-01-19,23.2
2022-01-20,23.2
2022-01-21,23.2
2022-01-22,23.2
2022-01-23,23.2
2022-01-24,23.2
2022-01-25,23.2
2022-01-26,23.2
2022-01-27,23.2
2022-01-28,23.2
2022-01-29,23.2
2022-01-30,23.2
2022-01-31,23.2
2022-02-01,23.2
2022-02-02,23.2
2022-02-03,23.2
2022-02-04,23.2
2022-02-05,23.2
2022-02-06,23.2
2022-02-07,23.2
2022-02-08,23.2
2022-02-09,23.2
2022-02-10,23.2
2022-02-11,23.26
2022-02-12,23.26
2022-02-13,23.26
2022-02-14,23.26
2022-02-15,23.26
2022-02-16,23.26
2022-02-17,23.26
2022-02-18,23.25
2022-02-19,23.25
2022-02-20,23.25
2022-02-21,23.25
2022-02-22,23.25
2022-02-23,23.25
2022-02-24,23.25
2022-02-25,23.05
2022-02-26,23.05
2022-02-27,23.05
2022-02-28,23.05
2022-03-01,23.05
2022-03-02,23.05
2022-03-03,23.05
2022-03-04,23.13
2022-03-05,23.13
2022-03-06,23.13
2022-03-07,23.13
2022-03-08,23.13
2022-03-09,23.13
2022-03-10,23.13
2022-03-11,23.8
2022-03-12,23.8
2022-03-13,23.8
2022-03-14,23.8
2022-03-15,23.8
2022-03-16,23.8
2022-03-17,23.8
2022-03-18,23.61
2022-03-19,23.61
2022-03-20,23.61
2022-03-21,23.61
2022-03-22,23.61
2022-03-23,23.61
2022-03-24,23.61
2022-03-25,23.47
2022-03-26,23.47
2022-03-27,23.47
2022-03-28,23.47
2022-03-29,23.47
2022-03-30,23.47
2022-03-31,23.47
2022-04-01,23.29
2022-04-02,23.29
2022-04-03,23.29
2022-04-04,23.29
2022-04-05,23.29
2022-04-06,23.29
2022-04-07,23.29
2022-04-08,23.213
2022-04-09,23.213
2022-04-10,23.213
2022-04-11,23.213
2022-04-12,23.213
2022-04-13,23.213
2022-04-14,23.213
2022-04-15,23.44
2022-04-16,23.44
2022-04-17,23.44
2022-04-18,23.44
2022-04-19,23.44
2022-04-20,23.44
2022-04-21,23.44
2022-04-22,23.47
2022-04-23,23.47
2022-04-24,23.47
2022-04-25,23.47
2022-04-26,23.47
2022-04-27,23.47
2022-04-28,23.47
2022-04-29,23.3
2022-04-30,23.3
2022-05-01,23.3
2022-05-02,23.3
2022-05-03,23.3
2022-05-04,23.3
2022-05-05,23.3
2022-05-06,23.3
2022-05-07,23.5
2022-05-08,23.5
2022-05-09,23.5
2022-05-10,23.5
2022-05-11,23.5
2022-05-12,23.5
2022-05-13,23.542
2022-05-14,23.542
2022-05-15,23.542
2022-05-16,23.542
2022-05-17,23.542
2022-05-18,23.542
2022-05-19,23.542
2022-05-20,23.36
2022-05-21,23.36
2022-05-22,23.36
2022-05-23,23.36
2022-05-24,23.36
2022-05-25,23.36
2022-05-26,23.36
2022-05-27,23.2
2022-05-28,23.2
2022-05-29,23.2
2022-05-30,23.2
2022-05-31,23.2
2022-06-01,23.2
2022-06-02,23.16
2022-06-03,23.16
2022-06-04,23.16
2022-06-05,23.16
2022-06-06,23.16
2022-06-07,23.16
2022-06-08,23.16
2022-06-09,23.16
2022-06-10,22.74
2022-06-11,22.74
2022-06-12,22.74
2022-06-13,22.74
2022-06-14,22.74
2022-06-15,22.74
2022-06-16,22.74
2022-06-17,22.48
2022-06-18,22.48
2022-06-19,22.48
2022-06-20,22.48
2022-06-21,22.48
2022-06-22,22.48
2022-06-23,22.48
2022-06-24,21.46
2022-06-25,21.46
2022-06-26,21.46
2022-06-27,21.46
2022-06-28,21.46
