Date,Price,Open,High,Low,Vol.,Change 
05/09/2021,91.9824,94.1761,94.5928,91.4757,,-1.87
05/02/2021,93.7349,90.8814,93.8659,90.5113,,3.73
04/25/2021,90.3610,88.7881,90.9590,88.3330,,2.22
04/18/2021,88.4025,86.4961,88.4101,86.4817,,2.17
04/11/2021,86.5268,83.9707,87.0040,83.4860,,2.97
04/04/2021,84.0279,83.9719,84.4956,82.7085,,0.23
03/28/2021,83.8339,84.0265,84.2158,82.5144,,-0.35
03/21/2021,84.1319,84.2356,84.7123,82.6194,,-0.46
03/14/2021,84.5202,86.2739,86.3216,83.1847,,-1.67
03/07/2021,85.9584,86.8358,86.8512,84.7406,,0.12
02/28/2021,85.8592,86.1165,86.2966,83.8414,,0.68
02/21/2021,85.2778,85.7897,88.1229,85.2339,,-0.03
02/14/2021,85.3002,85.1313,86.0276,84.4630,,1.47
02/07/2021,84.0621,82.8219,84.2650,82.7549,,1.93
01/31/2021,82.4711,81.0713,82.9967,80.8252,,2.96
01/24/2021,80.0981,79.1518,81.2744,79.0787,,1.25
01/17/2021,79.1128,80.2212,80.6290,78.8198,,-1.67
01/10/2021,80.4577,79.4785,81.3453,78.7828,,1.00
01/03/2021,79.6586,79.2856,81.1078,78.2908,,2.06
12/27/2020,78.0543,76.9958,78.0623,76.2327,,1.33
12/20/2020,77.0269,77.0789,77.4552,75.8539,,-0.38
12/13/2020,77.3211,75.3652,77.3616,74.8420,,3.28
12/06/2020,74.8682,73.7745,75.4435,73.1705,,0.76
11/29/2020,74.2999,74.8740,75.1096,73.7934,,-0.69
11/22/2020,74.8153,74.4098,75.0981,73.8791,,0.92
11/15/2020,74.1352,73.8628,74.6115,73.2227,,0.55
11/08/2020,73.7271,73.2691,74.5308,72.6886,,1.24
11/01/2020,72.8223,71.5293,73.9608,71.2137,,1.36
10/25/2020,71.8436,73.3175,73.7509,70.7474,,-2.34
10/18/2020,73.5659,73.4653,74.5427,73.2839,,0.25
10/11/2020,73.3840,73.6512,73.8177,72.2737,,0.18
10/04/2020,73.2507,70.1984,73.5018,69.9809,,4.94
09/27/2020,69.8026,70.7742,71.3014,69.2179,,-1.25
09/20/2020,70.6870,72.8095,72.9615,69.9768,,-3.12
09/13/2020,72.9672,71.9914,72.9945,71.4097,,1.97
09/06/2020,71.5564,72.2918,72.5193,70.7896,,-1.15
08/30/2020,72.3908,73.4623,73.9694,71.8293,,-1.02
08/23/2020,73.1354,71.4351,73.3049,71.3569,,2.35
08/16/2020,71.4586,71.0486,72.7232,70.9116,,0.92
08/09/2020,70.8064,70.6275,71.3000,68.7723,,0.51
08/02/2020,70.4501,68.8126,71.9748,68.7076,,2.58
07/26/2020,68.6767,68.2723,69.0956,67.8208,,0.77
07/19/2020,68.1503,66.2450,68.3493,65.9397,,2.49
07/12/2020,66.4947,66.5178,66.8130,65.7196,,-0.21
07/05/2020,66.6360,65.7343,67.2936,65.7154,,1.53
06/28/2020,65.6325,63.2669,65.6477,63.0607,,3.82
06/21/2020,63.2194,64.8088,65.0511,62.9821,,-2.10
06/14/2020,64.5736,63.4606,64.9043,62.6745,,1.36
06/07/2020,63.7057,64.6738,65.0758,63.6056,,-1.53
05/31/2020,64.6941,63.5627,64.9494,62.8349,,1.82
05/24/2020,63.5353,63.0569,63.5979,62.3513,,1.27
05/17/2020,62.7400,62.4082,63.8842,62.1437,,1.75
05/10/2020,61.6590,62.4716,62.6247,60.5156,,-1.06
05/03/2020,62.3200,60.5385,62.5827,60.3620,,2.66
04/26/2020,60.7066,60.1913,60.9613,59.0820,,0.78
04/19/2020,60.2394,62.0479,62.2335,58.8710,,-2.99
04/12/2020,62.0936,63.8302,63.9938,61.7674,,-2.18
04/05/2020,63.4759,62.0692,64.4111,62.0261,,2.06
03/29/2020,62.1957,62.1797,62.8340,60.2800,,-0.83
03/22/2020,62.7145,60.4681,64.4166,60.2924,,2.64
03/15/2020,61.0998,64.9744,65.1376,59.0877,,-6.44
03/08/2020,65.3051,67.2263,69.8131,65.1198,,-7.75
03/01/2020,70.7933,72.0985,73.9052,70.7685,,-0.26
02/23/2020,70.9799,75.5531,75.6365,70.6124,,-6.91
02/16/2020,76.2509,75.5636,76.7087,75.5107,,1.15
02/09/2020,75.3841,74.7245,75.6786,74.1574,,0.84
02/02/2020,74.7550,74.8416,75.4057,73.9168,,-0.11
01/26/2020,74.8374,76.8825,76.9382,74.7505,,-3.21
01/19/2020,77.3191,79.4572,79.5214,77.2194,,-3.13
01/12/2020,79.8170,80.6532,80.7545,79.4697,,-1.10
01/05/2020,80.7052,82.0636,82.2009,80.2224,,-0.81
12/29/2019,81.3663,81.4358,81.7485,80.7883,,0.02
12/22/2019,81.3512,80.2322,81.3651,80.1023,,1.19
12/15/2019,80.3939,79.5229,80.5720,79.5050,,1.23
12/08/2019,79.4136,78.0659,80.0334,77.8025,,1.50
12/01/2019,78.2393,77.5047,78.5095,77.0550,,1.46
11/24/2019,77.1108,78.7598,78.8425,77.0772,,-2.05
11/17/2019,78.7265,79.0234,79.0616,77.7575,,-0.46
11/10/2019,79.0884,79.4777,79.5596,78.5210,,-1.02
11/03/2019,79.9057,80.3794,80.9663,79.2810,,-0.44
10/27/2019,80.2596,79.6565,80.2705,78.8493,,0.96
10/20/2019,79.4979,78.5763,79.7132,78.1450,,1.06
10/13/2019,78.6672,78.9014,78.9244,78.0883,,-0.21
10/06/2019,78.8301,77.8879,78.8460,77.2816,,1.15
09/29/2019,77.9329,78.3689,78.4170,77.0414,,-0.52
09/22/2019,78.3400,79.4405,79.8776,77.9751,,-1.08
09/15/2019,79.1971,80.6305,81.4445,79.1624,,0.64
09/08/2019,78.6973,77.9817,79.0465,77.7746,,1.04
09/01/2019,77.8857,77.0331,78.6025,76.4039,,1.14
08/25/2019,77.0044,76.1223,77.6935,76.0530,,1.23
08/18/2019,76.0653,76.6581,77.1258,75.6843,,-0.92
08/11/2019,76.7728,77.3004,77.7550,76.4418,,-0.84
08/04/2019,77.4239,76.9585,77.6824,75.7148,,0.26
07/28/2019,77.2259,78.8653,79.3622,76.9102,,-1.92
07/21/2019,78.7409,79.4913,79.9233,78.6473,,-0.80
07/14/2019,79.3793,80.9332,81.1799,78.7589,,-2.03
07/07/2019,81.0222,79.3196,81.1174,78.4677,,2.41
06/30/2019,79.1142,80.0299,80.2052,78.0445,,-0.68
06/23/2019,79.6530,79.1625,80.5940,79.0180,,1.03
06/16/2019,78.8373,78.1850,79.5254,77.4305,,1.30
06/09/2019,77.8285,76.9634,78.1212,76.7751,,0.88
06/02/2019,77.1480,77.6102,78.1030,76.3485,,-0.72
05/26/2019,77.7043,79.2485,79.8314,77.6845,,-1.27
05/19/2019,78.7052,80.1840,80.2659,77.8329,,-1.25
05/12/2019,79.7043,78.3938,80.4411,78.1427,,1.33
05/05/2019,78.6618,78.9859,79.5851,78.1492,,-1.47
04/28/2019,79.8386,80.7442,81.1220,79.4151,,-1.14
04/21/2019,80.7614,82.1328,82.3828,80.5708,,-1.16
04/14/2019,81.7063,82.5428,82.6124,81.2898,,-1.21
04/07/2019,82.7086,82.7004,83.0812,82.1314,,0.41
03/31/2019,82.3702,81.3608,82.4036,81.3273,,1.58
03/24/2019,81.0872,81.5721,82.2908,80.9006,,-0.81
03/17/2019,81.7507,81.4298,82.7791,81.4217,,0.20
03/10/2019,81.5838,80.5277,81.6577,80.1727,,1.39
03/03/2019,80.4667,81.1271,81.3169,79.9050,,-0.62
02/24/2019,80.9660,82.2414,82.4778,80.6196,,-1.41
02/17/2019,82.1246,81.1193,82.2338,80.9724,,1.44
02/10/2019,80.9569,79.9816,80.9639,79.4700,,1.11
02/03/2019,80.0655,80.9752,81.2581,79.8220,,-1.11
01/27/2019,80.9650,80.5474,81.6194,79.7479,,-0.13
01/20/2019,81.0693,80.6707,81.1144,79.7666,,-0.38
01/13/2019,81.3791,79.8244,81.3924,79.3815,,2.16
01/06/2019,79.6614,78.3937,80.1226,78.3412,,1.69
12/30/2018,78.3352,77.5260,78.4898,76.2729,,0.96
12/23/2018,77.5922,78.8411,78.9375,77.0760,,-1.40
12/16/2018,78.6952,80.9813,81.2283,78.3595,,-3.16
12/09/2018,81.2656,83.6999,83.7086,81.2290,,-2.66
